Order id,Order Status,Conversion id,Order Time,Complete Time,Click Time,Shop Name,Item Name,Price(RM),Qty,Purchase Value(RM),Affiliate Net Commission(RM),Sub_id1,Channel
ORD26061801,Completed,260618D4CNWBBW,2026-06-18 09:30:15,2026-06-18 11:12:59,2026-06-18 09:01:23,MyGlove Official Store,Premium Glove A,18.50,1,18.50,2.78,FB,Facebook
ORD26061802,Completed,260618D4CNWBBW,2026-06-18 09:30:15,2026-06-18 11:12:59,2026-06-18 09:01:23,MyGlove Official Store,Premium Glove B,12.90,1,12.90,1.94,FB,Facebook
ORD26061803,Completed,260618D4CNWBBW,2026-06-18 09:30:15,2026-06-18 11:12:59,2026-06-18 09:01:23,HomeTools MY,Folding Chair,45.00,1,45.00,6.75,FB,Facebook
ORD26061804,Completed,260618D4CNWBBP,2026-06-18 10:05:22,2026-06-18 11:48:11,2026-06-18 09:12:02,FashionHub MY,Bangku Box Cover,29.90,1,29.90,4.49,produkFB,Facebook
ORD26061805,Pending,260618D4CNWBBQ,2026-06-18 10:18:44,,2026-06-18 09:18:33,GenericShop,Random Item,9.99,2,19.98,1.50,,Websites
ORD26061806,Completed,260618D4CNWBBR,2026-06-18 10:32:08,2026-06-18 12:15:30,2026-06-18 09:29:01,MyGlove Official Store,Premium Glove C,22.00,1,22.00,3.30,FB,Facebook
ORD26061807,Completed,260618D4CNWBBS,2026-06-18 10:48:51,2026-06-18 12:55:14,2026-06-18 09:35:55,BeautyPlus MY,Face Serum,35.00,1,35.00,5.25,produkFB,Facebook
ORD26061808,Completed,260618D4CNWBBT,2026-06-18 11:02:33,2026-06-18 13:18:42,2026-06-18 09:48:50,HomeTools MY,Folding Chair v2,49.90,1,49.90,7.49,FB,Instagram
ORD26061809,Completed,260618D4CNWBBU,2026-06-18 11:25:19,2026-06-18 13:42:08,2026-06-18 10:05:39,FashionHub MY,Shawl Print,15.90,1,15.90,2.39,produkFB,Facebook
ORD26061810,Completed,260618D4CNWBBV,2026-06-18 11:48:02,2026-06-18 14:05:55,2026-06-18 10:19:02,BeautyPlus MY,Lipstick Set,28.50,1,28.50,4.28,FB,Facebook
